Roll,Pitch,Heading,Temperature,Pressure,Sea Level Pressure,Altitude,Corrected Altitude,Packet RSSI,Packet SNR
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.75
-6.30,-5.50,14.00,25.10,509.25,541.11,508.91,487.84,-37,10.00
-6.30,-5.50,14.00,25.10,509.25,541.11,508.91,487.84,-37,9.75
-6.30,-5.50,14.00,25.10,509.25,541.11,508.91,487.84,-38,9.75
-6.30,-5.50,14.00,25.10,509.25,541.11,508.91,487.84,-37,9.75
-6.30,-5.50,14.00,25.10,509.24,541.11,509.23,488.16,-38,10.00
-6.30,-5.50,14.00,25.10,509.24,541.11,509.23,488.16,-38,10.00
-6.30,-5.50,14.00,25.10,509.24,541.11,509.23,488.16,-38,10.00
-6.30,-5.50,14.00,25.10,509.24,541.11,509.23,488.16,-38,10.50
-6.30,-5.50,14.00,25.10,509.24,541.11,509.23,488.16,-38,10.50
-6.30,-5.50,14.00,25.10,509.23,541.11,509.40,488.32,-38,9.50
-6.30,-5.50,14.00,25.10,509.23,541.11,509.40,488.32,-38,9.75
-6.30,-5.50,14.00,25.10,509.23,541.11,509.40,488.32,-37,9.25
-6.30,-5.50,14.00,25.10,509.23,541.11,509.40,488.32,-37,9.25
-6.30,-5.50,14.00,25.10,509.23,541.11,509.40,488.32,-38,9.75
-6.30,-5.50,14.00,25.10,509.25,541.11,509.07,488.00,-38,9.25
-6.30,-5.50,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.50
-6.30,-5.50,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.50
-6.30,-5.50,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.50
-6.30,-5.50,14.00,25.10,509.23,541.11,509.40,488.32,-38,9.50
-6.30,-5.50,14.00,25.10,509.23,541.11,509.40,488.32,-38,9.50
-6.30,-5.50,14.00,25.10,509.23,541.11,509.40,488.32,-37,9.75
-6.30,-5.50,14.00,25.10,509.23,541.11,509.40,488.32,-37,9.50
-6.30,-5.50,14.00,25.10,509.23,541.11,509.40,488.32,-38,9.25
-6.30,-5.50,14.00,25.10,509.22,541.11,509.56,488.47,-37,9.75
-6.30,-5.50,14.00,25.10,509.22,541.11,509.56,488.47,-37,9.75
-6.30,-5.50,14.00,25.10,509.22,541.11,509.56,488.47,-38,9.00
